TABLE DR5. C & O ISOTOPIC DATA FOR THE LOMFJORDEN AND LOWER HINLOPENSTRETET SUPERGROUP CARBONATES,,,,,,,,,,,,,
Sample Name,Section,Section Height (m),Group,Formation,Member,Composite Height (m),Sample Age (Ma),UID,Session,𝞭13CVPDB,𝞭13CVPDB standard error,𝞭18OVPDB,𝞭18OVPDB startdard error
G4-316.5,G4,316.5,Veteranen,Oxfordbreen,Fulmarberget,4370.5,840.6225589,16511,20220210,2.8,0.0064,-7.71,0.0071
G4-317.5,G4,317.5,Veteranen,Oxfordbreen,Fulmarberget,4371.5,840.6057239,16512,20220210,3,0.0029,-7.49,0.0065
G4-318.5,G4,318.5,Veteranen,Oxfordbreen,Fulmarberget,4372.5,840.5888889,16513,20220210,3.72,0.0058,-7.05,0.0042
G4-320,G4,320,Veteranen,Oxfordbreen,Fulmarberget,4374,840.5636364,16514,20220210,3.05,0.0031,-7.33,0.0031
G4-327,G4,327,Veteranen,Oxfordbreen,Fulmarberget,4381,840.4457912,14173,20210706,1.46,0.0069,-7.87,0.0134
J1623-1.1,J1623,1.1,Veteranen,Oxfordbreen,Fulmarberget,4381.386516,840.4392842,24285,20240710,3,0.0101,-9.04,0.0164
J1623-1.4,J1623,1.4,Veteranen,Oxfordbreen,Fulmarberget,4381.764657,840.4329182,24286,20240710,2.74,0.0094,-11.76,0.0133
J1623-1.9,J1623,1.9,Veteranen,Oxfordbreen,Fulmarberget,4382.394891,840.4223082,24287,20240710,3.02,0.0082,-10.54,0.0087
G4-329,G4,329,Veteranen,Oxfordbreen,Fulmarberget,4383,840.4121212,14172,20210706,2.27,0.0089,-8.12,0.0056
G4-331.5,G4,331.5,Veteranen,Oxfordbreen,Fulmarberget,4385.5,840.3700337,14171,20210706,0.76,0.011,-8.1,0.0133
J1623-4.9,J1623,4.9,Veteranen,Oxfordbreen,Fulmarberget,4386.176298,840.3586482,24288,20240710,4.84,0.0116,-11.27,0.0159
G4-333,G4,333,Veteranen,Oxfordbreen,Fulmarberget,4387,840.3447811,14170,20210706,1.66,0.0076,-7.33,0.0097
G4-335,G4,335,Veteranen,Oxfordbreen,Fulmarberget,4389,840.3111111,14169,20210706,2.42,0.0017,-6.48,0.0132
J1623-8.2,J1623,8.2,Veteranen,Oxfordbreen,Fulmarberget,4390.335846,840.2886221,24289,20240710,5.42,0.0068,-11.48,0.0133
G4-337,G4,337,Veteranen,Oxfordbreen,Fulmarberget,4391,840.2774411,14168,20210706,2.28,0.0074,-4.55,0.0094
J1623-9.5,J1623,9.5,Veteranen,Oxfordbreen,Fulmarberget,4391.974456,840.2610361,24290,20240710,4.62,0.0123,-11.28,0.014
G4-339.1,G4,339.1,Veteranen,Oxfordbreen,Fulmarberget,4393.1,840.2420875,14167,20210706,2.59,0.003,-8.14,0.0063
J1623-11,J1623,11,Veteranen,Oxfordbreen,Fulmarberget,4393.865159,840.2292061,24291,20240710,5.41,0.0045,-10.82,0.0135
G4-341,G4,341,Veteranen,Oxfordbreen,Fulmarberget,4395,840.210101,14149,20210705,1.73,0.0078,-5.91,0.0072
J1623-12.5,J1623,12.5,Veteranen,Oxfordbreen,Fulmarberget,4395.755863,840.197376,24292,20240710,5.36,0.0044,-11.19,0.009
G4-343.2,G4,343.2,Veteranen,Oxfordbreen,Fulmarberget,4397.2,840.173064,14144,20210705,2.11,0.0064,-8.23,0.0064
J1623-14.1,J1623,14.1,Veteranen,Oxfordbreen,Fulmarberget,4397.772613,840.163424,24295,20240710,5.28,0.0042,-10.81,0.0104
G4-345,G4,345,Veteranen,Oxfordbreen,Fulmarberget,4399,840.1427609,14145,20210705,2.78,0.0861,-7.27,0.1319
J1623-15.4,J1623,15.4,Veteranen,Oxfordbreen,Fulmarberget,4399.411223,840.135838,24296,20240710,4.93,0.0101,-10.59,0.0142
G4-346.7,G4,346.7,Veteranen,Oxfordbreen,Fulmarberget,4400.7,840.1141414,14146,20210705,3.69,0.0027,-6.48,0.0047
G4-348,G4,348,Veteranen,Oxfordbreen,Fulmarberget,4402,840.0922559,14147,20210705,3.65,0.0173,-5.5,0.0509
J1623-17.6,J1623,17.6,Veteranen,Oxfordbreen,Fulmarberget,4402.184255,840.089154,24297,20240710,3.96,0.0108,-9.79,0.0131
J1623-19.1,J1623,19.1,Veteranen,Oxfordbreen,Fulmarberget,4404.074958,840.0573239,24298,20240710,3.96,0.015,-9.55,0.0172
J1623-20.5,J1623,20.5,Veteranen,Oxfordbreen,Fulmarberget,4405.839615,840.0276159,24299,20240710,3.37,0.1109,-9.99,0.1632
G4-352,G4,352,Veteranen,Oxfordbreen,Fulmarberget,4406,840.0249158,14148,20210705,1.78,0.0157,-6.1,0.0289
G4-354,G4,354,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4408,840.3100719,14126,20210705,4.6,0.0081,-5.17,0.0149
J1623-23.2,J1623,23.2,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4409.242881,840.1983021,24300,20240710,2.86,0.0087,-9.68,0.0152
J1623-25.2,J1623,25.2,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4411.763819,839.971599,24301,20240710,3.01,0.0671,-9.89,0.0786
G4-358,G4,358,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4412,839.9503597,14127,20210705,4.76,0.004,-5.56,0.0081
J1623-29.2,J1623,29.2,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4416.805695,839.5181929,24302,20240710,2.98,0.4696,-11.02,0.5682
J1623-31,J1623,31,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4419.074539,839.3141601,24305,20240710,4.9,0.0108,-9.63,0.0187
G4-365.8,G4,365.8,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4419.8,839.2489209,14128,20210705,5.45,0.0038,-6.67,0.01
J1623-32.4,J1623,32.4,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4420.839196,839.155468,24306,20240710,3.71,0.0305,-9.57,0.0337
J1623-34.2,J1623,34.2,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4423.10804,838.9514352,24307,20240710,4.8,0.0394,-9.82,0.0537
G4-369.2,G4,369.2,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4423.2,838.9431655,14129,20210705,5.37,0.0078,-7.01,0.0128
J1623-37.6,J1623,37.6,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4427.393635,838.56604,24308,20240710,4.94,0.0079,-9.72,0.0127
J1623-39.7,J1623,39.7,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4430.04062,838.3280018,24309,20240710,2.93,0.0133,-9.77,0.0151
G4-379,G4,379,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4433,838.0618705,14130,20210705,5.43,0.3481,-7.2,0.4684
J1623-42.1,J1623,42.1,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4433.065745,838.0559581,24310,20240710,3.72,0.0137,-9.35,0.0165
J1623-43.4,J1623,43.4,Akademikerbreen,Grusdievbreen,lower Grusdievbreen,4434.704355,837.9086012,24370,20240717,3.78,0.0106,-9.08,0.0123
