UID,Session,Sample,d45,d46,d47,d48,d49
22070,20240218,LB-84,9.791377,7.702843,62.186576,188.949997,17132.804795
22094,20240218,ETH-2,-7.336838,-5.665800,33.536688,148.500546,23690.003734
14152,20210706,ETH-3,4.554052,11.919158,295.897709,268.366419,28022.161876
14173,20210706,G4-327,4.148817,5.572262,206.451226,333.333178,19381.401898
14159,20210706,G3-7,5.929765,10.566193,207.030112,251.690625,23457.699897
14174,20210706,ETH-2,-7.054311,-5.118736,31.086368,33.989760,8164.463687
14155,20210706,G3-1.4,7.381167,8.441031,110.082316,140.517653,23147.564877
14158,20210706,G3-5.3,5.461991,11.276848,93.777137,130.756189,18856.177625
14172,20210706,G4-329,4.900183,5.326284,102.681488,136.665074,13171.941323
14168,20210706,G4-337,5.076411,10.082731,185.239970,258.439624,34721.116628
14154,20210706,G3-0,7.751694,8.058716,120.202374,133.775565,23909.550950
14165,20210706,G3-13,6.523976,11.667546,84.567843,119.582178,24820.422144
14156,20210706,G3-2.9,6.517273,7.530882,103.586108,147.895418,20948.684448
14157,20210706,G3-3.8,6.286569,9.290546,94.871475,121.972091,18395.076299
14160,20210706,G3-9.3,6.538308,9.253794,107.190155,151.345901,33552.465024
14164,20210706,ETH-2,-7.095245,-5.111544,82.335027,84.585780,35889.620918
14153,20210706,ETH-2,-7.018988,-5.048998,93.200050,92.234385,12175.697506
14161,20210706,G3-10.2,2.410589,1.243173,782.983065,1798.690278,-1085630.833402
14162,20210706,G3-11.5,6.541510,8.481764,130.736429,179.891711,112258.339189
14175,20210706,ETH-3,4.516624,11.868900,65.782010,75.928497,13331.336829
14171,20210706,G4-331.5,3.481261,5.339735,340.443519,515.609981,25273.795768
14163,20210706,ETH-3,4.550338,11.885037,79.179172,87.203093,15169.246803
14170,20210706,G4-333,4.354838,6.123521,195.713396,260.028583,14970.085164
14166,20210706,G3-15.8,6.994031,7.498174,104.532444,124.937964,18956.207690
14167,20210706,G4-339.1,5.196631,5.310992,65.331825,87.288820,20623.342379
14169,20210706,G4-335,5.094915,6.970117,170.165461,250.618491,42200.226769
6448,20180710,J1701 17_0,6.845558,11.506824,25.303045,59.977660,6788.752549
6467,20180710,ETH-1,5.250617,12.486426,25.157198,57.178515,5604.216432
6450,20180710,ETH-1,5.261249,12.449088,21.145958,43.979909,3571.103424
6451,20180710,J1701 27_8,6.788047,9.803167,30.784774,79.371733,10944.338842
6447,20180710,J1701 11_0,7.062542,10.963598,28.194776,77.483638,9551.505045
6458,20180710,ETH-1,5.238726,12.506047,25.683358,57.977068,5788.906860
6456,20180710,J1701 12_0,6.781404,10.675175,27.534849,82.422668,10351.104335
6454,20180710,J1701 3_0,7.685837,10.394809,27.877957,78.474485,11327.351285
6437,20180710,J1701 10_0,7.173731,10.811820,31.581290,99.677154,14437.818685
6461,20180710,J1701 40_0,7.069616,10.916750,26.271983,61.541063,7468.063013
6453,20180710,J1701 48_0,6.982723,10.814724,34.814674,101.003409,11425.107303
6438,20180710,J1701 16_0,6.836961,10.302166,30.192106,93.970714,13131.257121
6463,20180710,J1701 50_0,6.831517,11.773626,45.265148,123.664217,11590.914558
6439,20180710,J1701 21_0,7.171314,12.360119,28.148357,81.025621,11214.451813
6444,20180710,J1701 58_0,6.692554,11.441901,27.252355,76.325787,10249.777842
6445,20180710,J1701 2_6,6.792491,10.782152,34.012949,90.838440,12758.035647
6441,20180710,J1701 38_0,7.157034,11.165696,25.236209,63.702170,8215.470273
